BioSample	Experiment	Run	Time	Organism	Tissue	Variety	Abbreviation	Subspecies	IRGC_Num
SAMN04251851	SRX1423937	SRR2931043	30 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251852	SRX1423938	SRR2931044	45 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251853	SRX1423939	SRR2931045	45 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251854	SRX1423940	SRR2931046	60 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251855	SRX1423941	SRR2931047	60 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251856	SRX1423942	SRR2931048	75 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251857	SRX1423943	SRR2931049	75 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251858	SRX1423944	SRR2931050	90 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251859	SRX1423945	SRR2931051	90 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251860	SRX1423946	SRR2931052	105 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251861	SRX1423947	SRR2931053	105 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251862	SRX1423948	SRR2931054	120 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251863	SRX1423949	SRR2931055	120 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251864	SRX1423950	SRR2931056	135 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251865	SRX1423951	SRR2931057	135 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251866	SRX1423952	SRR2931058	150 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251867	SRX1423953	SRR2931059	165 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251868	SRX1423954	SRR2931060	165 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251869	SRX1423955	SRR2931061	180 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251870	SRX1423956	SRR2931062	180 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251871	SRX1423957	SRR2931063	195 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251872	SRX1423958	SRR2931064	195 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251873	SRX1423959	SRR2931065	210 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251874	SRX1423960	SRR2931066	210 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251848	SRX1423934	SRR2931040	15 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251849	SRX1423935	SRR2931041	15 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251850	SRX1423936	SRR2931042	30 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251875	SRX1423961	SRR2931067	225 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251876	SRX1423962	SRR2931068	225 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251877	SRX1423963	SRR2931069	225 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251878	SRX1423964	SRR2931070	240 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
SAMN04251879	SRX1423965	SRR2931071	270 min	Oryza sativa	leaf	Azuenca	AZ	Japonica	328
